app,arm,files,phys,sloc,logic,prompt,comment,codechars,strchars,path
YTNavigator,openai_sdk,1,75,68,68,0,4,1327,620,YTNavigator/openai_sdk/llm.py
YTNavigator,openai_sdk,1,0,0,0,0,0,0,0,YTNavigator/openai_sdk/main.py
YTNavigator,openai_sdk,1,181,158,87,71,0,665,5069,YTNavigator/openai_sdk/prompts.py
YTNavigator,openai_sdk,1,87,87,87,0,0,1207,1651,YTNavigator/openai_sdk/tools.py
YTNavigator,NOOA,2,197,174,139,35,4,3448,4944,(total)
YTNavigator,NOOA,1,190,167,132,35,4,3287,4818,YTNavigator/NOOA/agent.py
YTNavigator,NOOA,1,7,7,7,0,0,161,126,YTNavigator/NOOA/main.py
CodeAgent,Jac,4,392,365,365,0,7,8136,6782,(total)
CodeAgent,Jac,1,103,94,94,0,2,1938,1393,CodeAgent/Jac/main.jac
CodeAgent,Jac,1,289,271,271,0,5,6198,5389,CodeAgent/Jac/nodes.jac
CodeAgent,Jac,1,0,0,0,0,0,0,0,CodeAgent/Jac/orchestrator.jac
CodeAgent,Jac,1,0,0,0,0,0,0,0,CodeAgent/Jac/tools.jac
CodeAgent,langgraph,3,449,414,386,28,10,10138,7003,(total)
CodeAgent,langgraph,1,135,127,127,0,5,3549,1831,CodeAgent/langgraph/main.py
CodeAgent,langgraph,1,314,287,259,28,5,6589,5172,CodeAgent/langgraph/nodes.py
CodeAgent,langgraph,1,0,0,0,0,0,0,0,CodeAgent/langgraph/orchestrator.py
CodeAgent,openai_sdk,4,715,668,654,14,15,16008,10618,(total)
CodeAgent,openai_sdk,1,82,75,75,0,4,1546,1271,CodeAgent/openai_sdk/main.py
CodeAgent,openai_sdk,1,415,382,372,10,8,8962,6862,CodeAgent/openai_sdk/nodes.py
CodeAgent,openai_sdk,1,0,0,0,0,0,0,0,CodeAgent/openai_sdk/orchestrator.py
CodeAgent,openai_sdk,1,218,211,207,4,3,5500,2485,CodeAgent/openai_sdk/phase_agent.py
CodeAgent,NOOA,9,1763,1489,1208,281,149,25809,21137,(total)
CodeAgent,NOOA,1,483,396,199,197,19,3976,11030,CodeAgent/NOOA/agent.py
CodeAgent,NOOA,1,25,22,14,8,0,331,447,CodeAgent/NOOA/llm.py
CodeAgent,NOOA,1,45,40,40,0,3,865,130,CodeAgent/NOOA/orchestrator.py
CodeAgent,NOOA,1,0,0,0,0,0,0,0,CodeAgent/NOOA/telemetry.py
CodeAgent,NOOA,1,81,72,66,6,6,1582,720,CodeAgent/NOOA/tools/common.py
CodeAgent,NOOA,1,248,220,201,19,17,4335,2011,CodeAgent/NOOA/tools/edit.py
CodeAgent,NOOA,1,314,242,228,14,58,5572,1270,CodeAgent/NOOA/tools/explore.py
CodeAgent,NOOA,1,62,57,57,0,0,1289,374,CodeAgent/NOOA/tools/plan.py
CodeAgent,NOOA,1,505,440,403,37,46,7859,5155,CodeAgent/NOOA/tools/verify.py
